"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.785/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x0a94fa5d9aa192374a59b8370ff23385de925c11f8af16053888f8b1aa5efa1d","41413343","1681232098","2023-04-11 16:54:58","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","19","14.9165431971029","0.021972786184195742","0.0172504218040664","1.11","","","Deposit ETH"
"0x48f06917b67e1f80671df12e9437950b41d93b4f027e8d0da9385c160b794f91","41862318","1682248371","2023-04-23 11:12:51","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.092292214550718048","0.0724568844790567","1.00","","","Borrow"
"0xc6775d4c051a506d4214f6ae099456f6637a634b486bde6743a89f13cf021bbf","41862347","1682248433","2023-04-23 11:13:53","0x1213c2364061f7cf11eca008c121072c63a213db","0xe111178a87a3bff0c8d18decba5798827539ae99","","0","0","0","0.01582117280531978","0.0124209056620728","1.00","","","Approve"
"0xdbc48485eb26d8d14734e6518b772e68e4bbdc4f33bd4f1c09fd11fd3fb14685","41862392","1682248561","2023-04-23 11:16:01","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","10","7.85081220900154","0.070116288331188706","0.0550469812480368","1.00","","","Deposit ETH"
"0x94b4c5cbbfa32fd76c5a6a0a535dea001be7b75bc50832cc028903e98aa9e8f3","42444027","1683529054","2023-05-08 06:57:34","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","0x1213c2364061f7cf11eca008c121072c63a213db","","101.467","0","79.6598362410759","0.003910761570975","0.00307026546879046","0.90","","","Transfer"
"0xf40b03f03c889b357631c658cb4d86b3e15df0e5795cbca25168889991b5cb31","42444516","1683530099","2023-05-08 07:14:59","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","101","79.2932033109156","0.031639432925702843","0.0248395246298993","0.90","","","Deposit ETH"
"0xc5cf6d744d95ab72c4bd63c06a6b46c1817e82e2141bcbc0c8df832d7807cd21","42485097","1683617276","2023-05-09 07:27:56","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.055779348327891313","0.0437913188862759","0.88","","","Borrow"
"0x52de35bc1af2edc6d582ed953b835f37d1809ee257f3764af27e74d9e993e66b","42485132","1683617365","2023-05-09 07:29:25","0x1213c2364061f7cf11eca008c121072c63a213db","0xe111178a87a3bff0c8d18decba5798827539ae99","","0","0","0","0.010533885768932424","0.00826995590029623","0.88","","","Approve"
"0x46339b2a6ce51e20f7479e0282761e92354513e365d19d6e1a0f1f83aea28b44","42485150","1683617403","2023-05-09 07:30:03","0x1213c2364061f7cf11eca008c121072c63a213db","0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5","","0","0","0","0.02950043702775771","0.0231602391188401","0.88","","","Execute"
"0xc3b873b61551ebd5757523cff9aab2732e1df7c8a52a59b632c7c45b382f3974","42485167","1683617439","2023-05-09 07:30:39","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","13","10.206055871702","0.034197157827158144","0.0268475464182606","0.88","","","Deposit ETH"
"0x187f9161ead2b012c75b6d2525f48b25e8debce5cacfa3a167883851b4c7b7d0","42623817","1683916409","2023-05-12 18:33:29","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.045851185869103528","0.0359969049818357","0.87","","","Borrow"
"0xde6ff5d9d115d998d15f32340916ce420e156b4d548622bda13df0f6c9985ca8","42623849","1683916477","2023-05-12 18:34:37","0x1213c2364061f7cf11eca008c121072c63a213db","0xe111178a87a3bff0c8d18decba5798827539ae99","","0","0","0","0.00741904927440244","0.00582455626226627","0.87","","","Approve"
"0xfea1a9d21437a836e36b46dda048995cd80467ecc7ac47548e58d974cfb9d0da","42623870","1683916521","2023-05-12 18:35:21","0x1213c2364061f7cf11eca008c121072c63a213db","0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5","","0","0","0","0.01945010711286673","0.0152699138388082","0.87","","","Execute"
"0xd049ea5b85f317b7868c7084905926f7609a0362a32c8afe3e82788c158c598b","42623881","1683916565","2023-05-12 18:36:05","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","13","10.206055871702","0.029509721758538304","0.0231675283866171","0.87","","","Deposit ETH"
"0xd976ec9ff3a17bcef0a0d899c8fd76c8e8e2761c97fe736cdbe9be7437d642c5","42921892","1684558525","2023-05-20 04:55:25","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.0447994598265006","0.0351712146162565","0.88","","","Borrow"
